Compound,m/z,Retention time (min),kmd,pass_relfil,pass_blnkfil,average CV,median CV,pass_cvfil,pass_insource,groups,fc,max,logmax,-logp,-logq,logfc
2.47_738.3797m/z,738.3797306,2.474783333,0.3797306000000161,True,True,0.7775457259240559,0.8665096205991772,False,True, 0um_Ce 250um_Ce Media cv,0.01006182584000206,51.08276931,1.7082744332947974,6.6199504283711725,,-6.634964066410155
2.68_352.1821m/z,352.1820587,2.681166667,0.18205870000002733,True,True,0.5735172316126883,0.3867689638041343,False,True, 0um_Ce 250um_Ce Media cv,0.01304855291515722,97.34731245111112,1.9883239660896008,6.7188609284810425,,-6.259966369024412
1.96_240.1347m/z,240.1346726,1.955316667,0.1346725999999876,True,True,0.3408699683222942,0.18500081175378988,True,True, 0um_Ce 250um_Ce Media,0.1457600932000834,23.90376116333333,1.3784662408630244,4.1811588517276945,3.507405635744658,-2.778332308164569
2.65_396.6499m/z,396.6498902,2.6526,0.6498902000000157,True,True,0.7598053958445091,0.1414481160740657,True,False, 0um_Ce insource,100.0,40.45427166366666,1.6069643865665886,0.6314311929658454,,6.643856189774724
2.66_545.1645m/z,545.1644987999998,2.65975,0.1644987999998193,True,True,0.3552211611163599,0.2604205169041021,False,True, 0um_Ce 250um_Ce Media cv,91.22401091595871,46.57098375333334,1.6681154119531685,1.0726456179581012,,6.511341698555413
4.63_139.0551m/z,139.0551174,4.630266667,0.055117400000000316,True,True,0.5924829286578371,0.2744238677897705,False,False, 0um_Ce 250um_Ce cv insource,100.0,12.199174286555555,1.0863304360084796,0.6422925556493515,,6.643856189774724
0.66_196.6068m/z,196.6068367,0.66065,0.6068367000000023,True,True,0.8083967645312197,0.4579485626824565,False,True, 0um_Ce Media cv,0.056280165363418636,24.252516669999995,1.3847568117705735,2.923607525861645,,-4.151229622240906
1.95_266.1561m/z,266.1560616,1.948166667,0.1560615999999868,True,True,0.4609337918027165,0.3271587266957725,False,False, 250um_Ce Media cv insource,0.01,209.06634141111115,2.3202841193023693,6.890809102150018,,-6.643856189774724
2.30_398.2250m/z,398.224956,2.303833333,0.2249560000000201,True,True,0.5169415312243889,0.6828273293885688,False,False, 0um_Ce 250um_Ce Media cv insource,0.016827526896818764,123.3338628,2.091082333757804,6.8909253648162165,,-5.89303302712159
1.24_173.0314m/z,173.03139869999995,1.24385,0.03139869999995426,True,False,,,True,True, 0um_Ce 250um_Ce Blanks Media,1.5071918910572726,93.25220104777777,1.9696590913292296,4.377413921809762,,0.5918631081452538
